Date,Betsi Cadwaladr University Local Health Board ,Powys Teaching Local Health Board (8),Hywel Dda University Local Health Board ,Swansea Bay University Local Health Board ,Cwm Taf Morgannwg University Local Health Board ,Aneurin Bevan University Local Health Board (9),Cardiff and Vale University Local Health Board (10),Velindre University NHS Trust 
01-Apr-20,499,0,445,423,353,524,683,18
02-Apr-20,572,0,449,366,352,567,620,19
03-Apr-20,569,0,463,404,385,597,680,17
04-Apr-20,556,0,648,257,441,655,729,18
05-Apr-20,336,0,594,128,378,654,750,15
06-Apr-20,346,0,525,193,408,615,715,19
07-Apr-20,525,0,498,73,403,630,705,17
08-Apr-20,580,0,478,254,417,621,675,16
09-Apr-20,580,0,480,222,417,646,714,19
10-Apr-20,588,0,443,133,474,662,715,22
11-Apr-20,567,0,433,291,431,678,704,18
12-Apr-20,539,0,458,440,438,632,712,22
13-Apr-20,551,0,471,175,438,659,720,21
14-Apr-20,527,0,516,171,390,647,693,24
15-Apr-20,521,0,455,183,411,647,705,18
16-Apr-20,583,0,499,342,403,643,717,13
17-Apr-20,557,0,445,182,402,633,695,13
18-Apr-20,497,0,460,188,420,651,700,17
19-Apr-20,492,0,459,204,421,629,695,21
20-Apr-20,460,0,443,220,377,624,984,19
21-Apr-20,477,0,459,279,374,610,966,18
22-Apr-20,477,0,467,270,403,606,969,17
23-Apr-20,657,85,540,349,431,776,1046,17
24-Apr-20,635,83,559,344,411,758,1044,15
25-Apr-20,604,81,571,324,441,792,1112,19
26-Apr-20,612,81,579,300,415,750,1126,19
27-Apr-20,590,74,451,324,422,766,1110,21
28-Apr-20,609,77,505,360,416,761,836,22
29-Apr-20,613,75,470,313,386,768,795,19
30-Apr-20,631,76,458,267,449,794,1084,18
01-May-20,610,75,418,275,306,792,1101,18
02-May-20,593,72,417,316,275,787,1144,18
03-May-20,607,65,395,344,277,788,1150,17
04-May-20,512,66,372,310,254,719,1110,16
05-May-20,542,68,381,289,231,750,1084,14
06-May-20,599,72,396,310,246,744,1095,12
07-May-20,507,71,379,306,229,686,1092,11
08-May-20,501,67,419,318,246,705,1120,10
09-May-20,509,67,435,279,284,697,1122,9
10-May-20,534,67,436,254,255,673,1096,12
11-May-20,503,65,355,223,272,631,1085,13
12-May-20,524,61,381,279,269,630,1084,13
13-May-20,520,58,390,277,262,645,1069,11
14-May-20,561,60,343,270,257,651,1069,17
15-May-20,568,59,318,276,282,680,1051,14
16-May-20,529,58,312,292,237,659,1099,14
17-May-20,512,56,323,314,226,638,1086,16
18-May-20,542,57,328,305,220,593,1038,15
19-May-20,508,64,324,305,232,615,1041,15
20-May-20,557,61,328,297,238,626,1034,13
21-May-20,572,60,326,276,235,632,1042,12
22-May-20,554,62,355,316,232,630,1043,12
23-May-20,511,59,335,294,211,645,1073,11
24-May-20,523,58,314,299,218,633,1063,16
25-May-20,517,58,305,283,214,601,1032,14
26-May-20,480,59,276,261,204,572,983,14
27-May-20,468,71,258,230,183,559,982,18
28-May-20,467,69,283,243,175,591,971,16
29-May-20,423,69,285,209,220,600,962,15
30-May-20,468,68,315,188,223,626,993,10
31-May-20,495,64,313,214,210,600,992,17
01-Jun-20,476,64,276,189,188,543,932,13
02-Jun-20,389,68,248,229,219,537,569,9
03-Jun-20,374,70,251,216,304,532,606,8
04-Jun-20,359,74,251,233,282,555,605,4
05-Jun-20,396,70,252,223,324,542,599,3
06-Jun-20,439,66,233,235,321,559,619,9
07-Jun-20,457,67,223,229,315,539,615,15
08-Jun-20,414,68,260,194,226,497,629,16
09-Jun-20,389,66,267,176,225,499,649,16
10-Jun-20,370,68,240,181,258,565,663,14
11-Jun-20,359,65,246,177,285,550,664,12
12-Jun-20,407,66,249,159,298,528,665,12
13-Jun-20,420,61,229,203,303,536,681,8
14-Jun-20,423,62,228,185,323,520,687,8
15-Jun-20,401,63,228,125,190,478,649,6
16-Jun-20,381,60,231,128,183,472,315,9
17-Jun-20,345,56,268,123,185,448,317,9
18-Jun-20,334,54,263,145,173,440,303,12
19-Jun-20,352,52,259,136,188,431,306,5
20-Jun-20,314,50,261,116,189,477,337,5
21-Jun-20,334,52,246,114,185,451,328,10
22-Jun-20,325,52,222,87,165,421,312,19
23-Jun-20,293,55,243,111,172,404,284,15
24-Jun-20,354,51,240,150,190,419,281,14
25-Jun-20,321,53,259,134,213,412,291,16
26-Jun-20,326,51,278,129,180,400,315,14
27-Jun-20,325,45,254,170,159,418,347,9
28-Jun-20,278,44,224,130,164,408,337,9
29-Jun-20,307,43,235,118,113,383,320,16
30-Jun-20,328,49,246,104,161,373,300,14
01-Jul-20,283,49,267,126,199,383,314,18
02-Jul-20,288,46,278,108,215,385,323,15
03-Jul-20,330,45,272,149,215,365,310,17
04-Jul-20,391,39,265,173,271,405,346,12
05-Jul-20,358,40,242,150,193,395,335,14
06-Jul-20,306,41,255,104,169,347,284,17
07-Jul-20,334,39,231,130,166,330,297,20
08-Jul-20,314,42,281,100,177,382,275,18
09-Jul-20,303,39,294,114,177,404,249,13
10-Jul-20,332,49,305,187,220,465,371,13
11-Jul-20,335,44,316,190,160,508,385,12
12-Jul-20,281,42,315,193,140,488,382,13
13-Jul-20,275,40,291,211,142,443,344,17
14-Jul-20,301,48,271,252,152,443,337,12
15-Jul-20,284,43,315,250,126,441,328,16
16-Jul-20,291,38,283,173,145,440,328,13
17-Jul-20,339,37,263,188,125,426,337,13
18-Jul-20,318,39,287,221,140,509,388,11
19-Jul-20,327,38,268,181,123,463,380,10
20-Jul-20,289,37,281,169,102,435,328,17
21-Jul-20,284,40,179,179,110,408,326,22
22-Jul-20,266,37,223,143,141,449,326,22
23-Jul-20,315,38,196,150,139,432,339,20
24-Jul-20,274,41,219,127,164,453,355,17
25-Jul-20,289,41,246,142,170,481,385,13
26-Jul-20,276,40,212,139,169,447,386,12
27-Jul-20,244,41,226,124,148,398,346,11
28-Jul-20,250,41,218,133,162,388,318,17
29-Jul-20,288,40,234,156,166,373,319,15
30-Jul-20,304,39,232,161,179,390,317,14
31-Jul-20,309,36,222,136,144,412,320,13
01-Aug-20,247,35,250,183,149,439,380,14
02-Aug-20,218,35,237,164,147,428,371,13
03-Aug-20,240,36,210,129,121,383,317,15
04-Aug-20,276,42,215,130,178,368,320,10
05-Aug-20,313,40,218,113,139,392,324,14
06-Aug-20,266,41,216,134,164,393,307,13
07-Aug-20,280,37,226,145,165,405,332,18
08-Aug-20,252,35,204,184,153,425,377,15
09-Aug-20,249,35,211,179,173,436,372,16
10-Aug-20,294,36,191,150,154,404,331,10
11-Aug-20,275,38,200,133,118,392,310,15
12-Aug-20,309,37,198,122,176,380,287,15
13-Aug-20,293,38,192,98,169,380,281,16
14-Aug-20,317,34,221,121,161,364,265,13
15-Aug-20,282,33,230,173,127,405,314,14
16-Aug-20,242,33,218,149,135,365,318,14
17-Aug-20,224,33,209,124,110,313,261,14
18-Aug-20,239,37,225,106,116,323,255,15
19-Aug-20,231,36,229,84,154,320,256,12
20-Aug-20,259,35,225,102,131,326,252,10
21-Aug-20,265,31,231,113,154,339,247,13
22-Aug-20,269,27,284,174,133,401,329,15
23-Aug-20,209,27,237,139,123,397,340,15
24-Aug-20,246,27,197,119,123,359,288,14
25-Aug-20,266,32,212,108,125,340,302,11
26-Aug-20,305,34,194,95,136,350,302,12
27-Aug-20,318,33,210,129,138,354,292,12
28-Aug-20,313,35,211,125,104,383,306,13
29-Aug-20,275,37,236,161,113,438,372,10
30-Aug-20,278,37,206,151,140,429,350,7
31-Aug-20,266,33,181,159,89,401,345,7
01-Sep-20,247,34,172,157,79,350,293,11
02-Sep-20,245,35,177,140,96,338,289,13
03-Sep-20,344,32,181,131,117,336,276,12
04-Sep-20,339,32,187,149,108,360,303,12
05-Sep-20,260,30,182,140,136,377,333,9
06-Sep-20,226,29,184,141,129,367,337,9
07-Sep-20,236,31,167,99,95,344,286,9
08-Sep-20,257,31,150,95,78,373,286,12
09-Sep-20,229,28,107,95,143,383,270,9
10-Sep-20,231,31,122,95,143,361,289,7
11-Sep-20,249,31,138,89,143,359,301,4
12-Sep-20,250,23,112,82,165,380,344,4
13-Sep-20,230,21,85,85,163,344,330,5
14-Sep-20,261,23,110,55,136,333,277,9
15-Sep-20,269,25,110,76,111,324,264,6
16-Sep-20,288,24,126,55,117,349,280,9
17-Sep-20,289,25,129,53,107,342,271,9
18-Sep-20,242,24,112,56,62,389,257,11
19-Sep-20,275,20,125,100,68,425,281,14
20-Sep-20,257,21,138,120,77,425,295,14
21-Sep-20,206,21,96,100,88,387,233,14
22-Sep-20,274,25,117,91,191,377,257,14
23-Sep-20,244,19,121,64,76,414,278,15
24-Sep-20,233,20,110,115,170,403,265,13
25-Sep-20,257,19,112,97,88,426,295,10
26-Sep-20,269,23,108,168,154,430,342,18
27-Sep-20,258,23,90,132,114,419,357,18
28-Sep-20,182,23,97,112,181,371,306,18
29-Sep-20,211,25,84,93,120,373,264,14
30-Sep-20,275,28,90,117,122,365,267,6
01-Oct-20,272,23,111,122,138,388,259,5
02-Oct-20,273,22,95,104,182,359,286,2
03-Oct-20,257,18,74,151,207,401,332,5
04-Oct-20,229,18,90,145,207,387,309,9
05-Oct-20,188,18,100,111,146,359,252,9
06-Oct-20,261,23,82,93,163,361,243,1
07-Oct-20,225,23,107,80,148,393,236,6
08-Oct-20,230,20,113,79,151,377,252,7
09-Oct-20,254,19,127,142,149,362,255,9
10-Oct-20,256,18,100,69,116,405,322,12
11-Oct-20,266,15,97,174,118,392,322,11
12-Oct-20,215,13,115,151,138,353,275,11
13-Oct-20,233,15,76,145,142,360,282,7
14-Oct-20,271,13,65,155,127,384,272,4
15-Oct-20,287,15,104,175,139,384,254,5
16-Oct-20,322,14,124,171,228,388,249,2
17-Oct-20,337,15,85,149,257,413,295,4
18-Oct-20,305,16,91,71,200,391,303,10
19-Oct-20,205,23,132,207,200,359,211,9
20-Oct-20,214,19,115,183,206,379,210,9
21-Oct-20,185,16,84,189,218,372,229,5
22-Oct-20,173,13,56,208,193,370,239,3
23-Oct-20,170,8,121,224,255,369,262,3
24-Oct-20,202,8,136,250,275,394,287,3
25-Oct-20,230,9,99,270,203,394,276,4
26-Oct-20,197,6,99,213,159,366,255,8
27-Oct-20,238,9,101,200,176,364,253,3
28-Oct-20,297,9,113,210,179,337,249,7
29-Oct-20,290,11,124,217,187,373,283,8
30-Oct-20,259,17,140,215,176,420,298,8
31-Oct-20,293,15,137,204,189,427,336,7
01-Nov-20,235,13,144,207,191,406,341,11
02-Nov-20,236,12,114,170,190,373,277,13
03-Nov-20,224,15,106,198,182,380,314,11
04-Nov-20,269,14,102,148,216,391,318,11
05-Nov-20,261,10,107,194,178,403,327,11
06-Nov-20,283,19,114,205,121,427,326,8
07-Nov-20,288,15,106,271,141,467,356,7
08-Nov-20,316,16,135,236,99,450,355,9
09-Nov-20,252,16,102,196,69,432,329,9
10-Nov-20,252,12,113,197,80,449,346,9
11-Nov-20,288,12,134,202,94,455,349,8